region1,region,service,time,elos_achievable,elos,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Karori,Karori,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Newtown,Newtown,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Miramar,Miramar,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,power,4,1,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Karori,Karori,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Newtown,Newtown,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Miramar,Miramar,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
