dest_type,lat,lon,label,address,1,2,3,4,5,nearest_priority_road,dist_to_priority_road,suburb_resupply_day,comments
fuel_station,-40.76255494,175.154828,Mobil Otaki,"187 - 191 Main Highway, Otaki",3,3,3,3,1,,,,
fuel_station,-40.87559078,175.0662102,New World Waikanae Fuel,"84-98 Main Rd, Waikanae",3,3,3,3,1,,,,
fuel_station,-40.917764,175.001587,Pak n Save Kapiti Fuel,"Rimu Rd, Paraparaumu",3,3,3,3,1,,,,
fuel_station,-40.87955,175.064106,Bohanna Motors (Mobil),"24 Main Road, Waikanae",3,3,3,3,1,,,,
fuel_station,-40.901856,174.992258,Caltex Kapiti,"217 Kapiti Rd, Paraparaumu",3,3,3,3,1,,,,
fuel_station,-40.90068,174.984378,Z Paraparaumu Airport,"60 Toru Rd, Paraparaumu",3,3,3,3,1,,,,
fuel_station,-40.915327,175.007908,Mobil Kapiti,"Cnr Amohia St and Main Highway, Paraparaumu",3,3,3,3,1,,,,
fuel_station,-41.09604388,174.8689079,BP Connect Mana,"71 Mana Esplanade, Mana",3,3,3,3,1,,,,
fuel_station,-41.076464,174.873095,Z Plimmerton Truck Stop,SH1 Plimmerton,3,2,2,1,1,1,0,7,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-41.091552,174.867663,Z Mana,"143 Mana Esplanade, Mana",3,3,3,3,1,,,,
fuel_station,-41.13786615,174.8412561,BP Connect Porirua,Walton Leigh & Titahi Bay Rd. Porirua,3,2,2,1,1,1,0,7,"Priority fuel station. Fuel only available while stocks allow.No generator on-site, so fuel commences from when generator can be installed. "
fuel_station,-41.13167154,174.840121,Porirua COCO OPT,Cnr Parumoana & Norrie St. Porirua,3,3,3,3,1,,,,
fuel_station,-41.1330304,174.8421612,Caltex Porirua,"4 Parumoana St, Porirua",3,3,3,3,1,,,,
fuel_station,-41.13970907,174.8419015,Mobil Porirua,"5 Kenepuru Drive, Porirua ",3,3,3,3,1,,,,
fuel_station,-41.14080104,174.8645987,Mobil Cannons Creek,"Cnr Mungavin Avenue and Champion Street, Porirua",3,3,3,3,1,,,,
fuel_station,-41.10614292,174.8689881,Mobil Paremata,"Main Highway, Paremata",3,3,3,3,1,,,,
