,geoid,dest_type,distance,time
568,7019656,EM_hubs,2279,0
569,7019658,EM_hubs,2404,0
570,7019659,EM_hubs,2051,0
571,7019660,EM_hubs,1713,0
572,7019661,EM_hubs,1742,0
573,7019662,EM_hubs,1240,0
574,7019663,EM_hubs,1825,0
575,7019685,EM_hubs,670,0
576,7019908,EM_hubs,854,0
577,7019664,EM_hubs,625,0
578,7019665,EM_hubs,729,0
579,7019666,EM_hubs,373,0
580,7019667,EM_hubs,754,0
581,7019668,EM_hubs,1179,0
582,7019669,EM_hubs,330,0
583,7019670,EM_hubs,1481,0
584,7019671,EM_hubs,751,0
585,7019672,EM_hubs,1812,0
586,7019923,EM_hubs,1190,0
587,7022194,supermarket,118473,2
588,7019674,EM_hubs,1325,0
589,7019675,EM_hubs,1423,0
590,7019676,EM_hubs,1459,0
591,7019677,EM_hubs,1398,0
592,7019678,EM_hubs,1489,0
593,7019679,EM_hubs,1298,0
594,7019680,EM_hubs,1302,0
595,7019681,EM_hubs,1371,0
596,7019682,EM_hubs,799,0
597,7019683,EM_hubs,764,0
598,7019684,EM_hubs,850,0
599,7019924,EM_hubs,1179,0
600,7022195,supermarket,109095,2
601,7019686,EM_hubs,1114,0
602,7019687,EM_hubs,987,0
603,7019688,EM_hubs,1076,0
604,7019689,EM_hubs,871,0
605,7019690,EM_hubs,1926,0
606,7019691,EM_hubs,1932,0
607,7019692,EM_hubs,1941,0
608,7019693,EM_hubs,2065,0
609,7019694,EM_hubs,2046,0
610,7019695,EM_hubs,2187,0
611,7019696,EM_hubs,2305,0
612,7019697,EM_hubs,2414,0
613,7019698,EM_hubs,2488,0
614,7022196,supermarket,111404,2
615,7019699,EM_hubs,2494,0
616,7019700,EM_hubs,2644,0
617,7019701,EM_hubs,2702,0
618,7019702,EM_hubs,3165,0
619,7019703,EM_hubs,2518,0
620,7019704,EM_hubs,3096,0
621,7019705,EM_hubs,2512,0
622,7019706,EM_hubs,2491,0
623,7019716,EM_hubs,1524,0
624,7019707,EM_hubs,2390,0
625,7019708,EM_hubs,2126,0
626,7019709,EM_hubs,2209,0
627,7019710,EM_hubs,1637,0
628,7019711,EM_hubs,1815,0
629,7019712,EM_hubs,2128,0
630,7019713,EM_hubs,1210,0
631,7019714,EM_hubs,1248,0
632,7019715,EM_hubs,1432,0
633,7020256,EM_hubs,848,0
634,7019717,EM_hubs,1623,0
635,7019718,EM_hubs,839,0
636,7019719,EM_hubs,836,0
637,7019720,EM_hubs,1715,0
638,7019721,EM_hubs,1210,0
639,7019722,EM_hubs,919,0
640,7019723,EM_hubs,1246,0
641,7019724,EM_hubs,993,0
642,7019725,EM_hubs,623,0
643,7019726,EM_hubs,594,0
644,7019727,EM_hubs,192,0
645,7019728,EM_hubs,537,0
646,7019744,EM_hubs,1508,0
647,7020257,EM_hubs,1034,0
648,7019729,EM_hubs,610,0
649,7019730,EM_hubs,752,0
650,7019731,EM_hubs,52,0
651,7019732,EM_hubs,520,0
652,7019733,EM_hubs,348,0
653,7019734,EM_hubs,592,0
654,7019735,EM_hubs,606,0
655,7019736,EM_hubs,651,0
656,7019737,EM_hubs,1053,0
657,7019738,EM_hubs,1092,0
658,7019739,EM_hubs,1653,0
659,7019740,EM_hubs,1250,0
660,7019741,EM_hubs,1161,0
661,7019742,EM_hubs,1216,0
662,7019743,EM_hubs,1471,0
663,7020258,EM_hubs,989,0
664,7019745,EM_hubs,1497,0
665,7019746,EM_hubs,1588,0
666,7019747,EM_hubs,1309,0
667,7019748,EM_hubs,1675,0
668,7019749,EM_hubs,1784,0
669,7019750,EM_hubs,1585,0
670,7019751,EM_hubs,1589,0
671,7019752,EM_hubs,1927,0
672,7019753,EM_hubs,1557,0
673,7019754,EM_hubs,1774,0
674,7019755,EM_hubs,1735,0
675,7019756,EM_hubs,1788,0
676,7019758,EM_hubs,1535,0
677,7019759,EM_hubs,1642,0
678,7019760,EM_hubs,2615,0
679,7019761,EM_hubs,470,0
680,7022197,supermarket,128352,2
681,7019763,EM_hubs,1190,0
682,7019764,EM_hubs,748,0
683,7019765,EM_hubs,416,0
684,7019766,EM_hubs,1645,0
685,7019767,EM_hubs,701,0
686,7019768,EM_hubs,1098,0
687,7019769,EM_hubs,826,0
688,7019770,EM_hubs,1764,0
689,7019771,EM_hubs,1102,0
690,7019772,EM_hubs,1187,0
691,7019773,EM_hubs,1643,0
692,7019774,EM_hubs,2012,0
693,7019775,EM_hubs,2232,0
694,7019776,EM_hubs,2900,0
695,7019777,EM_hubs,2289,0
696,7019778,EM_hubs,3214,0
697,7019779,EM_hubs,2882,0
698,7019780,EM_hubs,1788,0
699,7019781,EM_hubs,2700,0
700,7019782,EM_hubs,1481,0
701,7019783,EM_hubs,1468,0
702,7019784,EM_hubs,1600,0
703,7019785,EM_hubs,1213,0
704,7019786,EM_hubs,1819,0
705,7019787,EM_hubs,1260,0
706,7019788,EM_hubs,1833,0
707,7019925,EM_hubs,712,0
708,7019789,EM_hubs,2063,0
709,7019790,EM_hubs,2858,0
710,7019791,EM_hubs,1557,0
711,7019792,EM_hubs,2675,0
712,7019793,EM_hubs,1763,0
713,7019794,EM_hubs,2013,0
714,7019795,EM_hubs,2470,0
715,7019796,EM_hubs,2628,0
716,7019797,EM_hubs,2708,0
717,7019798,EM_hubs,2905,0
718,7019906,EM_hubs,1353,0
719,7019799,EM_hubs,1554,0
720,7019800,EM_hubs,2567,0
721,7019801,EM_hubs,1642,0
722,7019802,EM_hubs,1983,0
723,7019803,EM_hubs,1916,0
724,7019804,EM_hubs,2228,0
725,7019805,EM_hubs,2286,0
726,7019806,EM_hubs,2530,0
727,7019807,EM_hubs,3371,0
728,7019808,EM_hubs,3354,0
729,7020317,EM_hubs,1195,0
730,7019809,EM_hubs,2716,0
731,7019810,EM_hubs,2940,0
732,7019811,EM_hubs,2849,0
733,7019812,EM_hubs,2893,0
734,7019813,EM_hubs,3016,0
735,7019814,EM_hubs,3190,0
736,7019816,EM_hubs,944,0
737,7019817,EM_hubs,824,0
738,7019818,EM_hubs,1030,0
739,7019819,EM_hubs,662,0
740,7019820,EM_hubs,647,0
741,7019821,EM_hubs,608,0
742,7019822,EM_hubs,1222,0
743,7019823,EM_hubs,600,0
744,7019824,EM_hubs,600,0
745,7019825,EM_hubs,491,0
746,7019826,EM_hubs,348,0
747,7019827,EM_hubs,615,0
748,7019828,EM_hubs,738,0
749,7019829,EM_hubs,822,0
750,7019830,EM_hubs,767,0
751,7019831,EM_hubs,2298,0
752,7019832,EM_hubs,2286,0
753,7019833,EM_hubs,1679,0
754,7019834,EM_hubs,1947,0
755,7019835,EM_hubs,2161,0
756,7021630,EM_hubs,199,0
757,7019836,EM_hubs,907,0
758,7019837,EM_hubs,2216,0
759,7019838,EM_hubs,1563,0
760,7019839,EM_hubs,2786,0
761,7019840,EM_hubs,924,0
762,7019841,EM_hubs,1118,0
763,7019842,EM_hubs,1415,0
764,7019843,EM_hubs,1043,0
765,7019844,EM_hubs,1169,0
766,7019845,EM_hubs,1129,0
767,7019846,EM_hubs,1441,0
768,7019847,EM_hubs,1567,0
769,7020225,EM_hubs,718,1
770,7019848,EM_hubs,1662,0
771,7019849,EM_hubs,1583,0
772,7019850,EM_hubs,1490,0
773,7019852,EM_hubs,1465,0
774,7019853,EM_hubs,1647,0
775,7019854,EM_hubs,1560,0
776,7019855,EM_hubs,1521,0
777,7019856,EM_hubs,1302,0
778,7019857,EM_hubs,1356,0
779,7019858,EM_hubs,1229,0
780,7019859,EM_hubs,1186,0
781,7019860,EM_hubs,1263,0
782,7019861,EM_hubs,1188,0
783,7019862,EM_hubs,845,0
784,7019863,EM_hubs,1298,0
785,7019864,EM_hubs,895,0
786,7020318,EM_hubs,1015,0
787,7019866,EM_hubs,856,0
